creative_id,model_variant,risk_score,S_day_30,p_fatigue_by_day_30,S_day_45,p_fatigue_by_day_45,S_day_60,p_fatigue_by_day_60,observed_event_fatigued,observed_duration_days
500000,static_plus_first_week,1.110281361198198,0.8608292436267365,0.13917075637326348,0.8608292436267365,0.13917075637326348,0.8608292436267365,0.13917075637326348,False,56.0
500001,static_plus_first_week,7.059139726627023,0.2797725069839078,0.7202274930160921,0.2797725069839078,0.7202274930160921,0.2797725069839078,0.7202274930160921,True,12.0
500002,static_plus_first_week,6.5946088797638405,0.31247356966032425,0.6875264303396758,0.31247356966032425,0.6875264303396758,0.31247356966032425,0.6875264303396758,True,11.0
500003,static_plus_first_week,2.2668345492240216,0.7330542057366476,0.2669457942633524,0.7330542057366476,0.2669457942633524,0.7330542057366476,0.2669457942633524,False,53.0
500004,static_plus_first_week,4.516245107330315,0.49783350432901186,0.5021664956709881,0.49783350432901186,0.5021664956709881,0.49783350432901186,0.5021664956709881,False,55.0
500005,static_plus_first_week,3.388620290817302,0.5743179062352671,0.42568209376473287,0.5743179062352671,0.42568209376473287,0.5743179062352671,0.42568209376473287,False,47.0
500006,static_plus_first_week,0.06209211840790789,0.9893843984962406,0.010615601503759398,0.9893843984962406,0.010615601503759398,0.9893843984962406,0.010615601503759398,False,60.0
500007,static_plus_first_week,1.0809138066156037,0.8454671052134778,0.1545328947865222,0.8454671052134778,0.1545328947865222,0.8454671052134778,0.1545328947865222,False,52.0
500008,static_plus_first_week,0.22100439560439558,0.9634728216228216,0.03652717837717845,0.9634728216228216,0.03652717837717845,0.9634728216228216,0.03652717837717845,False,47.0
500009,static_plus_first_week,0.1597665904357081,0.975160756726933,0.02483924327306697,0.975160756726933,0.02483924327306697,0.975160756726933,0.02483924327306697,False,46.0
500010,static_plus_first_week,0.13098183923919218,0.9782625585199115,0.021737441480088493,0.9782625585199115,0.021737441480088493,0.9782625585199115,0.021737441480088493,False,51.0
500011,static_plus_first_week,0.24022886739450208,0.9620053554260211,0.03799464457397894,0.9620053554260211,0.03799464457397894,0.9620053554260211,0.03799464457397894,False,51.0
500012,static_plus_first_week,0.07459090582619994,0.987651480872069,0.012348519127931001,0.987651480872069,0.012348519127931001,0.987651480872069,0.012348519127931001,False,72.0
500013,static_plus_first_week,0.004615384615384616,0.9992307692307691,0.0007692307692308553,0.9992307692307691,0.0007692307692308553,0.9992307692307691,0.0007692307692308553,False,72.0
500014,static_plus_first_week,0.13325097223897533,0.9765503682334176,0.023449631766582435,0.9765503682334176,0.023449631766582435,0.9765503682334176,0.023449631766582435,False,59.0
500015,static_plus_first_week,0.019464285714285712,0.9965,0.0034999999999999476,0.9965,0.0034999999999999476,0.9965,0.0034999999999999476,False,56.0
500016,static_plus_first_week,0.4875131890700944,0.9175139032961921,0.08248609670380791,0.9175139032961921,0.08248609670380791,0.9175139032961921,0.08248609670380791,False,72.0
500017,static_plus_first_week,0.01756166056166056,0.9966825396825396,0.0033174603174603856,0.9966825396825396,0.0033174603174603856,0.9966825396825396,0.0033174603174603856,False,58.0
500018,static_plus_first_week,1.5606312514439988,0.7333556239866982,0.2666443760133018,0.7333556239866982,0.2666443760133018,0.7333556239866982,0.2666443760133018,False,31.0
500019,static_plus_first_week,0.7607263356354685,0.8927762945688639,0.10722370543113613,0.8927762945688639,0.10722370543113613,0.8927762945688639,0.10722370543113613,False,41.0
500020,static_plus_first_week,0.5024710135982583,0.9175959219429803,0.08240407805701966,0.9175959219429803,0.08240407805701966,0.9175959219429803,0.08240407805701966,False,36.0
500021,static_plus_first_week,0.18511991145399068,0.9715010772120745,0.02849892278792554,0.9715010772120745,0.02849892278792554,0.9715010772120745,0.02849892278792554,False,41.0
500022,static_plus_first_week,1.8968068041704635,0.7221925461602605,0.2778074538397395,0.7221925461602605,0.2778074538397395,0.7221925461602605,0.2778074538397395,False,35.0
500023,static_plus_first_week,3.3330951529666635,0.5595018174684251,0.4404981825315749,0.5595018174684251,0.4404981825315749,0.5595018174684251,0.4404981825315749,True,12.0
500024,static_plus_first_week,0.1973359791223568,0.9673708672218732,0.032629132778126846,0.9673708672218732,0.032629132778126846,0.9673708672218732,0.032629132778126846,False,29.0
500025,static_plus_first_week,0.054923478482302016,0.9909117647058823,0.00908823529411773,0.9909117647058823,0.00908823529411773,0.9909117647058823,0.00908823529411773,False,44.0
500026,static_plus_first_week,0.20767698147226007,0.9637652505733,0.03623474942670002,0.9637652505733,0.03623474942670002,0.9637652505733,0.03623474942670002,False,33.0
500027,static_plus_first_week,0.13271721593244007,0.9800758678290447,0.019924132170955344,0.9800758678290447,0.019924132170955344,0.9800758678290447,0.019924132170955344,False,43.0
