iter	MAE
0	0.002718287547
1	0.00259530738
2	0.002478078107
3	0.002362067822
4	0.002252914333
5	0.002160383189
6	0.002064647926
7	0.001971131581
8	0.001883405165
9	0.001803349056
10	0.001725998699
11	0.001650635761
12	0.001580160728
13	0.001516299634
14	0.001458677691
15	0.00140503497
16	0.001349343269
17	0.001298438987
18	0.00124761245
19	0.001201269124
20	0.00115829671
21	0.001116138903
22	0.001077373423
23	0.001039004536
24	0.001006089643
25	0.0009719197756
26	0.0009394874956
27	0.0009083709443
28	0.0008794216343
29	0.0008514986154
30	0.0008260702811
31	0.0008025304918
32	0.0007797194351
33	0.0007586935027
34	0.0007398824769
35	0.0007204920864
36	0.0007057363861
37	0.0006883530898
38	0.0006720441927
39	0.0006579792722
40	0.0006426996074
41	0.0006292851581
42	0.0006157550356
43	0.000602102731
44	0.0005906989495
45	0.0005795080409
46	0.00056981428
47	0.0005588620934
48	0.0005479818121
49	0.0005385459394
50	0.0005289809042
51	0.0005201455543
52	0.0005124975175
53	0.0005039578574
54	0.0004977398596
55	0.0004908767384
56	0.0004841252444
57	0.0004786043604
58	0.0004729287195
59	0.0004678919354
60	0.0004625079122
61	0.0004575810456
62	0.0004529180015
63	0.0004484745794
64	0.0004441659898
65	0.0004397445932
66	0.0004360839051
67	0.0004337509666
68	0.0004298555437
69	0.0004263040146
70	0.0004230362242
71	0.0004202668415
72	0.0004176830515
73	0.0004157361114
74	0.0004133921123
75	0.0004107819753
76	0.0004084333872
77	0.0004064604809
78	0.0004042378452
79	0.0004026769075
80	0.0004007756744
81	0.0003993070396
82	0.0003975618845
83	0.0003958913143
84	0.0003946673694
85	0.0003931582323
86	0.0003918893993
87	0.0003906635742
88	0.0003892505123
89	0.0003882408791
90	0.0003868414381
91	0.0003857335645
92	0.000384680685
93	0.0003834676716
94	0.000382399051
95	0.0003814911277
96	0.0003806736707
97	0.0003798697996
98	0.0003790541458
99	0.0003781316015
100	0.0003773612254
101	0.0003769267051
102	0.0003765918724
103	0.0003761868417
104	0.0003756130873
105	0.000375248283
106	0.000374685169
107	0.0003738935653
108	0.000373239501
109	0.0003726731065
110	0.0003721980153
111	0.0003716074396
112	0.000371257637
113	0.0003708957174
114	0.0003705319659
115	0.0003702912819
116	0.0003699764242
117	0.0003696431576
118	0.0003691650375
119	0.0003688325943
